2016-05-27 6:34:28 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:49:33 - PayPal Express debug (Call data): {"METHOD":"SetExpressCheckout","RETURNURL":"http:\/\/www.mydev.com\/index.php?route=payment\/pp_onestep\/dopay","CANCELURL":"http:\/\/www.mydev.com\/index.php?route=checkout\/cart","REQCONFIRMSHIPPING":0,"NOSHIPPING":2,"ALLOWNOTE":"0","LOCALECODE":"US","LANDINGPAGE":"Login","HDRBORDERCOLOR":"","HDRBACKCOLOR":"","PAYFLOWCOLOR":"","CHANNELTYPE":"Merchant","PAYMENTREQUEST_0_SHIPPINGAMT":"","PAYMENTREQUEST_0_CURRENCYCODE":"AUD","PAYMENTREQUEST_0_PAYMENTACTION":"Sale","L_PAYMENTREQUEST_0_NAME0":"LED Ceramic Lamp Holder E27 to GU10-White","L_PAYMENTREQUEST_0_NUMBER0":"3021126854","L_PAYMENTREQUEST_0_AMT0":"1.03","L_PAYMENTREQUEST_0_QTY0":"4","L_PAYMENTREQUEST_0_ITEMURL0":"http:\/\/www.mydev.com\/p8837-led-ceramic-lamp-holder-e27-to-gu10-white.html","L_PAYMENTREQUEST_0_NAME1":"Waterproof LED Floodlight 10W 800-900lm Integrated Natural White Induction-Black(AC85-265V)","L_PAYMENTREQUEST_0_NUMBER1":"2500845874","L_PAYMENTREQUEST_0_AMT1":"25.12","L_PAYMENTREQUEST_0_QTY1":"4","L_PAYMENTREQUEST_0_ITEMURL1":"http:\/\/www.mydev.com\/p18258-waterproof-led-floodlight-10w-800-900lm-integrated-natural-white-induction-black-ac85-265v-.html","L_PAYMENTREQUEST_0_NAME2":"LED Corn Bulb G4 1.5W 80-100lm 24xSMD3014 Warm White Dimmable(AC\/DC12V)","L_PAYMENTREQUEST_0_NUMBER2":"1020729064","L_PAYMENTREQUEST_0_AMT2":"2.50","L_PAYMENTREQUEST_0_QTY2":"3","L_PAYMENTREQUEST_0_ITEMURL2":"http:\/\/www.mydev.com\/p11160-led-corn-bulb-g4-1-5w-80-100lm-24xsmd3014-warm-white-dimmable-ac-dc12v.html","L_PAYMENTREQUEST_0_NAME3":"LED Hair Braid Butterfly Shaped With Clip Colorful Light(2xCR1220)","L_PAYMENTREQUEST_0_NUMBER3":"2841028532","L_PAYMENTREQUEST_0_AMT3":"2.24","L_PAYMENTREQUEST_0_QTY3":"3","L_PAYMENTREQUEST_0_ITEMURL3":"http:\/\/www.mydev.com\/p10698-led-hair-braid-butterfly-shaped-with-clip-colorful-light-2xcr1220-.html","L_PAYMENTREQUEST_0_NAME4":"IP65 LED Floodlight 20W 1700-1900LM Integrated Induction Cool White-Black(AC85-265V)","L_PAYMENTREQUEST_0_NUMBER4":"2500928288","L_PAYMENTREQUEST_0_AMT4":"34.85","L_PAYMENTREQUEST_0_QTY4":"2","L_PAYMENTREQUEST_0_ITEMURL4":"http:\/\/www.mydev.com\/p10316-ip65-led-floodlight-20w-1700-1900lm-integrated-induction-cool-white-black-ac85-265v.html","L_PAYMENTREQUEST_0_NAME5":"LED Spot Bulb E14 2W 110LM 1-COB Warm White(AC220-240V)","L_PAYMENTREQUEST_0_NUMBER5":"1000726618","L_PAYMENTREQUEST_0_AMT5":"4.46","L_PAYMENTREQUEST_0_QTY5":"9","L_PAYMENTREQUEST_0_ITEMURL5":"http:\/\/www.mydev.com\/p8600-led-spot-bulb-e14-2w-110lm-1-cob-warm-white-ac220-240v-.html","L_PAYMENTREQUEST_0_NUMBER6":"shipping","L_PAYMENTREQUEST_0_NAME6":"Expedited Shipping (3-6 Working Days)","L_PAYMENTREQUEST_0_AMT6":"90.09","L_PAYMENTREQUEST_0_QTY6":1,"PAYMENTREQUEST_0_ITEMAMT":318.75,"PAYMENTREQUEST_0_AMT":318.75,"PAYMENTREQUEST_0_INVNUM":"16052711838950","USER":"sales_api1.myled.com","PWD":"5ENLFPF8YG5DJJGR","SIGNATURE":"AeRmKOVN2b57Kp5Mywh6BO8mp9B9A87HVrycPp7T1ABQ4-sNTZ.j5fao","VERSION":"106.0","BUTTONSOURCE":"opencart"}
2016-05-27 8:49:35 - PayPal Express debug (Result): "TOKEN=EC%2d0G421035EK218163V&TIMESTAMP=2016%2d05%2d27T06%3a49%3a52Z&CORRELATIONID=b032ad55b64da&ACK=Success&VERSION=106%2e0&BUILD=000000"
2016-05-27 8:51:31 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:51:36 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:51:37 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:51:41 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:52:43 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:57:29 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:58:17 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:48 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 75
2016-05-27 8:58:54 - PHP Warning:  in_array() expects parameter 2 to be array, null given in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\checkout\include\cart_product.tpl on line 76
2016-05-27 8:59:30 - PHP Warning:  Missing argument 4 for ModelAccountCustomer::bingding(), called in F:\www\opencart\charles_0127\Application\catalog\controller\account\login.php on line 400 and defined in F:\www\opencart\charles_0127\Application\model\account\customer.php on line 286
2016-05-27 9:00:28 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:01:13 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:03:52 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:04:11 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:04:47 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:05:25 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:05:41 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:06:22 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
2016-05-27 9:08:19 - PHP Warning:  Invalid argument supplied for foreach() in F:\www\opencart\charles_0127\Application\catalog\view\theme\default\template\product\category.tpl on line 52
